Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
9.250000e+00	7.436966e-01	0	1.234193e+02	3.581165e+02	
9.300000e+00	7.849919e-01	0	1.008343e+02	3.681447e+02	
9.350000e+00	7.878035e-01	0	1.131594e+02	4.201170e+02	
9.400000e+00	7.999585e-01	0	1.095106e+02	4.379286e+02	
9.450000e+00	8.105717e-01	0	9.387108e+01	4.016783e+02	
9.500000e+00	7.200862e-01	0	1.515069e+02	3.897557e+02	
9.550000e+00	7.656682e-01	0	1.097754e+02	3.586858e+02	
9.600000e+00	7.626957e-01	0	1.244080e+02	3.998469e+02	
9.650000e+00	7.719237e-01	0	1.172672e+02	3.968905e+02	
9.700000e+00	8.303062e-01	0	7.911491e+01	3.871066e+02	
9.750000e+00	8.039324e-01	0	1.039187e+02	4.260957e+02	
9.800000e+00	8.108469e-01	0	9.395135e+01	4.027433e+02	
9.850000e+00	4.587182e-01	0	2.765369e+02	2.343557e+02	
9.900000e+00	4.743045e-01	0	2.634194e+02	2.376680e+02	
9.950000e+00	4.101245e-01	0	2.965931e+02	2.062132e+02	
10	6.541209e-01	0	1.706212e+02	3.226759e+02	
1.005000e+01	8.227527e-01	0	9.516862e+01	4.417569e+02	
1.010000e+01	7.621831e-01	0	1.261397e+02	4.042669e+02	
1.015000e+01	4.232252e-01	0	3.046868e+02	2.235728e+02	
1.020000e+01	6.500834e-01	0	1.901420e+02	3.532504e+02	
1.025000e+01	7.870461e-01	0	1.165840e+02	4.308772e+02	
1.030000e+01	7.724428e-01	0	1.098951e+02	3.730389e+02	
1.035000e+01	8.300986e-01	0	9.102421e+01	4.447232e+02	
1.040000e+01	8.069497e-01	0	9.940572e+01	4.155157e+02	
1.045000e+01	8.285144e-01	0	8.067407e+01	3.897682e+02	
1.050000e+01	7.745089e-01	0	1.206795e+02	4.145056e+02	
1.055000e+01	8.156619e-01	0	9.615452e+01	4.254660e+02	
1.060000e+01	8.212087e-01	0	8.722056e+01	4.006140e+02	
1.065000e+01	7.852451e-01	0	1.124975e+02	4.113436e+02	
