Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
8.200000e+00	2.223751e-01	0	4.060197e+02	1.161083e+02	
8.250000e+00	2.127967e-01	0	4.039828e+02	1.092046e+02	
8.300000e+00	1.716623e-01	0	4.030139e+02	8.351941e+01	
8.350000e+00	2.060059e-01	0	3.882017e+02	1.007210e+02	
8.400000e+00	2.485801e-01	0	3.556536e+02	1.176551e+02	
8.450000e+00	1.946659e-01	0	3.991065e+02	9.647232e+01	
8.500000e+00	1.940750e-01	0	4.272589e+02	1.028883e+02	
8.550000e+00	2.959593e-01	0	3.432642e+02	1.442988e+02	
8.600000e+00	4.168174e-01	0	2.798595e+02	2.000237e+02	
8.650000e+00	6.329299e-01	0	2.006057e+02	3.458994e+02	
8.700000e+00	8.043324e-01	0	1.008680e+02	4.146388e+02	
8.750000e+00	4.904960e-01	0	2.625872e+02	2.527910e+02	
8.800000e+00	0	0	7.627288e+00	-6.621966e+00	
8.850000e+00	0	0	-1.394242e+01	-1.756043e-01	
8.900000e+00	0	0	-8.271770e+00	-7.502831e+00	
8.950000e+00	0	0	-5.408586e+00	-5.518891e-01	
9	0	0	7.628620e+00	3.696848e+00	
9.050000e+00	0	0	-2.460804e+01	9.705879e+00	
9.100000e+00	0	0	1.669983e+01	-2.589599e+01	
9.150000e+00	0	0	3.267266e+00	-1.857963e+01	
9.200000e+00	0	0	1.290847e+01	4.908303e+00	
9.250000e+00	0	0	-1.326044e+01	-4.462173e+00	
9.300000e+00	0	0	-2.438586e+00	1.661327e+01	
9.350000e+00	0	0	7.335976e+00	-3.355287e+00	
9.400000e+00	0	0	5.405215e+00	8.292787e+00	
9.450000e+00	0	0	-1.262831e+01	-1.548155e+01	
9.500000e+00	0	0	-1.565100e-01	-2.504555e+00	
9.550000e+00	0	0	-6.514755e+00	1.194097e+01	
9.600000e+00	0	0	-1.564007e+01	2.107984e+01	
9.650000e+00	0	0	6.801611e+00	9.663888e-01	
9.700000e+00	0	0	3.997300e+00	1.089149e+01	
9.750000e+00	0	0	-9.062551e-01	-1.016123e+01	
9.800000e+00	0	0	-1.779230e+01	-2.487556e+00	
9.850000e+00	0	0	1.503253e+01	9.719898e+00	
9.900000e+00	0	0	1.021702e+01	3.191710e+00	
9.950000e+00	0	0	7.887573e-01	-1.111777e+01	
10	0	0	5.112367e+00	1.842315e+01	
1.005000e+01	0	0	2.428208e+00	-1.160902e+01	
1.010000e+01	0	0	-6.089198e+00	2.310332e+00	
1.015000e+01	0	0	5.787009e+00	6.252878e-01	
1.020000e+01	0	0	2.336894e+01	-1.230395e+00	
1.025000e+01	0	0	2.891689e+00	-2.916878e+00	
1.030000e+01	0	0	-1.869174e+01	6.893919e+00	
1.035000e+01	0	0	-2.919783e+00	-6.495273e+00	
1.040000e+01	0	0	-1.610952e+01	-5.812159e-01	
1.045000e+01	0	0	6.201236e-02	-2.851800e+01	
1.050000e+01	0	0	-5.058195e+00	3.248036e+00	
1.055000e+01	0	0	7.033126e+00	1.855019e+00	
1.060000e+01	0	0	-4.952140e+00	-7.251689e+00	
1.065000e+01	0	0	8.828911e+00	-7.231580e+00	
1.070000e+01	0	0	2.886613e-01	4.939172e+00	
1.075000e+01	0	0	-4.779050e+00	2.212446e+01	
1.080000e+01	0	0	-2.308964e-01	2.378216e+00	
1.085000e+01	0	0	-1.249736e+01	-1.036965e+01	
1.090000e+01	0	0	-9.648543e+00	1.644266e+00	
1.095000e+01	0	0	1.282093e+01	-7.459232e+00	
11	0	0	1.379880e+01	-1.839779e+01	
1.105000e+01	0	0	1.399279e+01	-1.848892e+01	
1.110000e+01	0	0	-1.294826e+01	-4.370790e+00	
1.115000e+01	0	0	3.032060e+00	-6.273667e+00	
1.120000e+01	0	0	-4.171932e+00	2.914619e+01	
